Début des rapports,Fin des rapports,Nom de la campagne,Plateforme,Résultats,Indicateur de résultats,Couverture,Impressions,Répétition,CPM (Coût pour 1 000 impressions) (USD),Clics (tous),CTR (tous),CPC (tous) (USD),Interactions avec la publication,Commentaires sur la publication,Réactions à une publication,Partages de publications,J’aime sur Facebook,Coût par interaction avec la Page (USD),ThruPlays,Coût par ThruPlay (USD),Lectures de vidéo de 3 secondes,Coût par lecture de vidéo de 3 secondes (USD),Followers sur Instagram,Clics sur un lien,CPC (coût par clic sur un lien) (USD),Conversations par messages démarrées,Achats,Ajouts au panier,Ajouts d’informations de paiement,Paiements initiés,Prospects,Vues de contenu,ROAS (retour sur les dépenses publicitaires) des achats,Conversion rate,Coût par résultat,mois,annee
2023-03-23,2026-04-22,Batam - prix cassé - 50K clics - META - Novembre 2024,Facebook,59026.0,actions:link_click,1043288,6072284,5.820333,0.119822,58536,0.963987,0.01243,59026.0,,,,,0.012327,,,,,0,59026.0,0.012327,9.0,,,,,,,,0.0,0.0123267,Novembre,2024
2023-03-23,2026-04-22,Batam EOY 2024 - Promo TV-  conversion solution optimisée,Facebook,,,20442,45849,2.242882,0.330378,434,0.946586,0.034902,437.0,,,,,0.034663,,,,,0,437.0,0.034663,,,2.0,,,,,,0.0,,,2024
2023-03-23,2026-04-22,Batam - EOY Promo Chauffages - Conversion - 133 663 clics,Facebook,,,7661,19332,2.52343,0.434081,481,2.488103,0.017446,10444.0,,,,,0.000803,6353.0,0.001321,9960.0,0.000843,0,484.0,0.017338,2.0,,3.0,,1.0,,,,0.0,,,
2023-03-23,2026-04-22,Batam- EOY Promo Info- Conversion - 139 512 clics,Facebook,,,22486,82687,3.677266,0.355515,1406,1.700388,0.020908,39774.0,,,,,0.000739,26537.0,0.001108,38351.0,0.000767,0,1423.0,0.020658,4.0,,10.0,,2.0,,,,0.0,,,
2023-03-23,2026-04-22,Batam- EOY Promo Lavage- Conversion - 100K clics,Facebook,6.0,actions:offsite_conversion.fb_pixel_purchase,1086,3318,3.055249,0.360978,73,2.200121,0.016407,2468.0,,,,,0.000485,1478.0,0.00081,2394.0,0.0005,0,74.0,0.016185,,6.0,6.0,,3.0,,,10.979158,0.0,0.19962066,,
2023-03-23,2026-04-22,Batam- Promo EOY Chauffages | 2eme vague- Conversion- 100K clics,Facebook,6.0,actions:offsite_conversion.fb_pixel_purchase,4091,7978,1.950134,0.514516,189,2.369015,0.021719,5647.0,,,,,0.000727,3566.0,0.001151,5456.0,0.000752,0,191.0,0.021491,,6.0,10.0,,4.0,,,95.353947,0.0,0.68413529,,
2023-03-23,2026-04-22,Batam - EOY Promo Pack encastrable - 57 883 clics,Facebook,4.0,actions:offsite_conversion.fb_pixel_purchase,1278,4242,3.319249,0.232971,54,1.272984,0.018301,178.0,,,,,0.005552,98.0,0.010084,123.0,0.008035,0,55.0,0.017968,,4.0,3.0,,4.0,,,24.254667,0.0,0.24706585,,
2023-03-23,2026-04-22,Batam- EOY Promo Robot Pétrin- 100K clics,Facebook,,,1021,4379,4.288932,0.25068,8,0.18269,0.137216,8.0,,,,,0.137216,,,,,0,8.0,0.137216,,,,,,,,,0.0,,,
2023-03-23,2026-04-22,Batam- Février 2025 - St.V - 100K clics,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,2300,10023,4.357826,0.351741,212,2.115135,0.01663,5349.0,,,,,0.000659,2629.0,0.001341,5137.0,0.000686,0,212.0,0.01663,,2.0,5.0,,1.0,,,0.087931,0.0,1.76275162,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - SmartWatch-Buds - 100K clics,Facebook,8.0,actions:offsite_conversion.fb_pixel_purchase,8179,22218,2.716469,0.403511,624,2.808534,0.014367,17537.0,,,,,0.000511,9288.0,0.000965,16906.0,0.00053,0,631.0,0.014208,,8.0,17.0,,10.0,,,18.568428,0.0,1.12065221,Février,2025
